,sked+time,sked_RMS,x,y,rad
162,003+9,7.58,88.040341331995,10.576105362304562,41.10419655831505
163,003+10,7.58,88.040341331995,10.576105362304562,54.5796265150429
164,003+11,7.58,88.040341331995,10.576105362304562,42.17190235470178
165,003+12,7.58,88.040341331995,10.576105362304562,42.17190235470178
166,003+13,7.58,4.726198519478847,40.232210493726846,29.489092079837565
167,003+14,7.58,4.726198519478847,40.232210493726846,29.360638501692325
168,003+15,7.58,23.091705338565873,37.87486580041577,31.195021467781668
169,003+16,7.58,23.091705338565873,37.87486580041577,31.195021467781668
170,003+17,7.58,23.091705338565873,37.87486580041577,31.195021467781668
171,003+18,7.58,23.091705338565873,37.87486580041577,31.195021467781668
172,003+19,7.58,23.091705338565873,37.87486580041577,31.195021467781668
173,003+20,7.58,23.091705338565873,37.87486580041577,31.195021467781668
174,003+21,7.58,21.593705430674333,38.12016009945186,30.695770926941975
175,003+22,7.58,21.593705430674333,38.12016009945186,30.704549058979225
176,003+23,7.58,88.040341331995,10.576105362304562,43.25805553414034
177,003+24,7.58,88.040341331995,10.576105362304562,43.25805553414034
178,003+25,7.58,88.040341331995,10.576105362304562,43.25805553414034
179,003+26,7.58,88.040341331995,10.576105362304562,43.25805553414034
180,003+27,7.58,88.040341331995,10.576105362304562,43.25805553414034
181,003+28,7.58,88.040341331995,10.576105362304562,43.25805553414034
182,003+29,7.58,88.040341331995,10.576105362304562,31.120193177956068
183,003+30,7.58,54.56773747184782,69.84351896480032,34.68045665896707
184,003+31,7.58,34.8524086512594,35.652293440101325,38.79526319867104
185,003+32,7.58,34.8524086512594,35.652293440101325,38.79526319867104
186,003+33,7.58,34.8524086512594,35.652293440101325,38.79526319867104
187,003+34,7.58,34.8524086512594,35.652293440101325,38.79526319867104
188,003+35,7.58,34.8524086512594,35.652293440101325,38.79526319867104
189,003+36,7.58,88.040341331995,10.576105362304562,31.120193177956068
190,003+37,7.58,88.040341331995,10.576105362304562,31.120193177956068
191,003+38,7.58,88.040341331995,10.576105362304562,31.120193177956068
192,003+39,7.58,88.040341331995,10.576105362304562,30.342079585315574
193,003+40,7.58,88.040341331995,10.576105362304562,30.342079585315574
194,003+41,7.58,88.040341331995,10.576105362304562,30.342079585315574
195,003+42,7.58,88.040341331995,10.576105362304562,30.342079585315574
196,003+43,7.58,88.040341331995,10.576105362304562,30.342079585315574
197,003+44,7.58,88.040341331995,10.576105362304562,30.342079585315574
198,003+45,7.58,88.040341331995,10.576105362304562,30.342079585315574
199,003+46,7.58,26.085807903211325,37.365326398268785,33.79390368027857
200,003+47,7.58,26.085807903211325,37.365326398268785,33.79390368027857
201,003+48,7.58,33.41206986055524,35.95566938849746,38.87777012198212
202,003+49,7.58,88.040341331995,10.576105362304562,29.90384899836663
203,003+50,7.58,88.040341331995,10.576105362304562,29.90384899836663
204,004+0,8.01,88.040341331995,10.576105362304562,34.255227793242796
205,004+1,8.01,88.040341331995,10.576105362304562,34.255227793242796
206,004+2,8.01,88.040341331995,10.576105362304562,34.255227793242796
207,004+3,8.01,45.64921403411134,75.97305030239882,22.694725376863108
208,004+4,8.01,45.64921403411134,75.97305030239882,23.095692657237546
209,004+5,8.01,45.64921403411134,75.97305030239882,23.095692657237546
210,004+6,8.01,4.726198519478847,40.232210493726846,30.245829891450267
211,004+7,8.01,23.091705338565873,37.87486580041577,31.24755644162749
212,004+8,8.01,23.091705338565873,37.87486580041577,31.24755644162749
213,004+9,8.01,23.091705338565873,37.87486580041577,31.24755644162749
214,004+10,8.01,23.091705338565873,37.87486580041577,31.24958784094249
215,004+11,8.01,12.445894894361608,39.401387251767716,36.50495371446998
216,004+12,8.01,12.445894894361608,39.401387251767716,36.50495371446998
217,004+13,8.01,88.040341331995,10.576105362304562,32.97914656472714
218,004+14,8.01,88.040341331995,10.576105362304562,32.97914656472714
219,004+15,8.01,88.040341331995,10.576105362304562,32.97914656472714
220,004+16,8.01,88.040341331995,10.576105362304562,32.97914656472714
221,004+17,8.01,88.040341331995,10.576105362304562,32.97914656472714
222,004+18,8.01,88.040341331995,10.576105362304562,31.99629581199814
223,004+19,8.01,88.040341331995,10.576105362304562,31.99629581199814
224,004+20,8.01,88.040341331995,10.576105362304562,31.820040430159793
225,004+21,8.01,88.040341331995,10.576105362304562,31.820040430159793
226,004+22,8.01,88.040341331995,10.576105362304562,31.820040430159793
227,004+23,8.01,88.040341331995,10.576105362304562,31.820040430159793
228,004+24,8.01,88.040341331995,10.576105362304562,31.820040430159793
229,004+25,8.01,88.040341331995,10.576105362304562,31.820040430159793
230,004+26,8.01,54.56773747184782,69.84351896480032,33.64755739585223
231,004+27,8.01,54.56773747184782,69.84351896480032,33.64755739585223
232,004+28,8.01,54.56773747184782,69.84351896480032,33.64755739585223
233,004+29,8.01,54.56773747184782,69.84351896480032,33.64755739585223
234,004+30,8.01,88.040341331995,10.576105362304562,43.3878850037653
235,004+31,8.01,54.56773747184782,69.84351896480032,34.66602752425069
236,004+32,8.01,-38.7425561140879,40.726370058203806,32.452638127284885
237,004+33,8.01,-38.7425561140879,40.726370058203806,32.452638127284885
